rank,title,pages,type,course,academic_year,rating,url,document_id
5,Mathematics-1 - Final Qualifying Exam Practicals (July 2015),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-engineering-technology/mathematics-1-practicals-on-maths-diploma/114979533?queryID=4c60b1489ff322e14553c924d482fe8a&origin=search-results,114979533
6,Pharmacognosy Final Qualifying Exam SEM 2 Paper A - July 2011,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-pharmacy-i/pharmacognosy-sem-2-paper-a/77516942?queryID=4c60b1489ff322e14553c924d482fe8a&origin=search-results,77516942
9,Mathematics Final Qualifying Exam - KMTC 2016/2017,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-engineering-technology/mathematics-p1-1-1docs/114979628?queryID=4c60b1489ff322e14553c924d482fe8a&origin=search-results,114979628
22,ITM 2021 Final Exam: Medical Imaging Modalities - Qualifying Paper,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/radiography-and-imaging-sciences/itm-july-2021-1-5-course-work/115181319?queryID=4c60b1489ff322e14553c924d482fe8a&origin=search-results,115181319
